model_name,temperature,agent,taskName,required_items,taskDescription,detailedSetting,goalSetting,scoringSystem,ObjectsData,TaskID,name,TaskOrder,Agent,nObjects,userSetting
gpt-4o-2024-08-06,1,naive,Paper Basketball Challenge,"[{'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}, {'name': 'Chair', 'quantity': 2}, {'name': 'Clock', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]",Two players take turns shooting a waste paper ball into a trash can from a designated distance. The objective is to make as many successful shots as possible within a one-minute time frame.,Place the trash can against one wall of the room. Position a chair approximately 3 meters away from the trash can to mark the shooting line. The clock is used to time each player's one-minute shooting period. Players alternate turns sitting on the second chair while the other takes shots. The waste paper ball is used to simulate a basketball for shooting.,The goal is to successfully throw the waste paper ball into the trash can as many times as possible within one minute.,Each successful shot into the trash can earns the player 1 point. The player with the higher score at the end of their turns wins the challenge.,"['Waste paper ball', 'Trash can', 'Chair', 'Clock', 'Other people']",157,many_human1_0.0,0,GPT-4o,5,human_many
gpt-4o-2024-08-06,1,naive,Kalimba Rhythms,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",A single player uses the kalimba to invent a short musical composition and writes the notes and structure down in a notebook.,Sit comfortably on the sofa with the kalimba in your lap. Keep the notebook and pen handy on the side. Begin experimenting with the kalimba until an enjoyable tune is discovered. Use the notebook to jot down the notes and sequence of the composition.,Create an original short musical tune of at least 5 different notes and write it down.,"Subjective scoring based on creativity and feeling. Rate the final composition on a scale from 1 to 10, with 1 being not satisfied and 10 being extremely satisfied with the musical outcome.","['Kalimba', 'Notebook', 'Pen']",158,many_human1_0.0,1,GPT-4o,3,human_many
gpt-4o-2024-08-06,1,naive,Board-Stack Relay,"[{'name': 'Chess board&pieces', 'quantity': 1}, {'name': 'Building block', 'quantity': 5}, {'name': 'Desk', 'quantity': 1}, {'name': 'Tray', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]",Players race to transport and stack all the chess pieces onto building blocks placed on a tray using a specific route around the room.,"Set up the chessboard with pieces at the starting desk. Place the tray with building blocks on the other desk, about 5 meters away, forming a relay course. One player at a time takes turns carrying one chess piece at a time and stacking it onto a building block on the tray, then returning quickly for the next piece.",To be the fastest to transfer and stack all chess pieces.,Use a stopwatch to time each player’s completion of the task. The player with the shortest time wins. Each second slower than the fastest time is considered a point less in performance evaluation.,"['Chess board&pieces', 'Building block', 'Desk', 'Tray', 'Other people']",159,many_human1_0.0,2,GPT-4o,5,human_many
gpt-4o-2024-08-06,1,naive,Basketball Trick Shot Challenge,"[{'name': 'Basketball', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}]",The participant attempts to score points by making trick shots with a basketball and a waste paper ball into a trash can from an elevated position on a chair.,"Place the trash can near a wall to serve as the basket. Set the chair about 8 feet away from the trash can to act as the shooting platform. The participant stands on the chair and alternates shots using the basketball and the waste paper ball, trying to make them into the trash can.",The objective is to score as many points as possible within a set number of attempts by tossing the basketball or the waste paper ball into the trash can.,Each successful shot with the waste paper ball scores 1 point. Each successful shot with the basketball scores 3 points. The participant has a total of 10 attempts and can choose the combination of balls for their attempts. The final score is the total number of points after all attempts are exhausted.,"['Basketball', 'Waste paper ball', 'Chair', 'Trash can']",160,many_human2_0.0,0,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Hanger Basketball Hoop,"[{'name': 'Clothes hangers', 'quantity': 2}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Basket', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}]",Create a makeshift basketball game using two hangers as the basket rim and a waste paper ball as the basketball. The player’s goal is to throw the ball through the improvised hoop to score points.,"Secure the clothes hangers on the backrest of the chair, shaping them into a hoop-like structure over a distinct area in the room corner. Place a basket underneath to catch the paper ball that passes through the hoop. Stand or sit at a distance from the chair to attempt throwing the waste paper ball through the hanger hoop.",Score as many points as possible by successfully getting the waste paper ball through the hanger hoop in a limited timeframe or a set number of attempts.,"Each successful basket through the hanger hoop counts as 2 points. The player can choose between a timed session (e.g., 2 minutes for as many baskets as possible) or a count-based session (e.g., 10 throws). The objective is to accumulate the highest possible score.","['Clothes hangers', 'Waste paper ball', 'Chair', 'Basketball']",161,many_human3_0.0,0,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Chess Strategy Showdown,"[{'name': 'Chessboard & pieces', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]","Two participants engage in a chess game where they play standard matches and then document their moves, strategies, and reflections in a notebook during and after each game.","Set up the chessboard on a desk. Each player uses the notebook to note their moves, anticipated opponent strategies, and personal thoughts on their gameplay. This allows players to reflect on their strategies and improvements.",Win the chess match by outsmarting the opponent through strategic moves and analysis. Document insights and reflections to improve future games.,"As chess is often won, lost, or drawn, a win scores 3 points, a draw scores 1 point for each player, and a loss scores 0 points. Players can also gain 1 bonus point for insightful strategic analysis documented in the notebook, as judged collectively or reviewed by the opponent.","['Chess board&pieces', 'Notebook', 'Pen', 'Other people']",162,many_human3_0.0,1,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Kalimba Rhythm Challenge,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Newspaper', 'quantity': 1}, {'name': 'Clock', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]","Participants take turns creating short rhythmic patterns on the kalimba, using a newspaper to muffle the sound at intervals for a creative musical game. The challenge involves timing and creativity.","One participant holds the kalimba and plays a rhythm while the other uses a newspaper to intermittently muffle specific notes, challenging the player to adapt their rhythm. Time the rotations using the clock, with each participant having 1 minute to play and 1 minute to muffle.",Create unique and enjoyable rhythmic patterns despite the distractions of the newspaper muffling. The other player then attempts to replicate or improve upon this pattern during their turn.,"Players earn scores from 1 to 5 points based on creativity, rhythm stability, and adaptability under muffled conditions, as judged by the non-playing participant. The highest collective score across a set series of turns indicates the winner.","['Kalimba', 'Newspaper', 'Clock', 'Other people']",163,many_human3_0.0,2,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Basket Toss Challenge,"[{'name': 'Basketball', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}]",A fun throwing game where players attempt to score points by tossing the basketball or waste paper ball into a trash can from varying distances.,"Place the trash can near one wall of the room. Mark three distinct throwing spots using chairs or other visible reference points at different distances from the trash can (e.g., 3 feet, 5 feet, and 7 feet). The player will take turns attempting to throw either the basketball or waste paper ball into the trash can from each marked position.",The goal is to score as many points as possible by successfully throwing the balls into the trash can from the designated spots.,Successfully tossing the basketball into the trash can scores 3 points. Successfully tossing the waste paper ball into the trash can scores 1 point. Each player has three attempts with each ball from each distance. The player with the most total points after all attempts wins.,"['Basketball', 'Waste paper ball', 'Trash can', 'Chair']",164,many_human4_0.0,0,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Kalimba Sounds and Stories,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]",A creative songwriting game where players compose short musical pieces using a Kalimba and then write a story inspired by the tune.,"Each player takes turns playing a short tune on the Kalimba for 1-2 minutes. After their performance, the other player writes a brief story or poem inspired by the melody in the notebook. Players then switch roles.",The objective is to create engaging and imaginative stories inspired by music.,Creativity Score: Both players rate each other's stories from 1 to 10 based on creativity and how well the story matches the musical mood. Originality Bonus: An extra point is awarded by mutual agreement if a story is particularly unique or clever. The player with the highest total score after both stories are created wins.,"['Kalimba', 'Notebook', 'Pen', 'Other people']",165,many_human4_0.0,1,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Mini Book Maze,"[{'name': 'Book', 'quantity': 5}, {'name': 'Tray', 'quantity': 1}, {'name': 'Pillow', 'quantity': 2}, {'name': 'Dice', 'quantity': 1}]","A strategic race to move a tray along a path created using books, using dice throws to determine movement steps.",Arrange the books standing on their edges in a winding path on the floor. Use pillows to mark the start and finish lines. Place the tray at the starting pillow. Players take turns rolling the dice to advance the tray through the maze without knocking books over.,"The aim is to navigate the tray from start to finish in the fewest dice rolls, avoiding any disruption to the book maze.","Each successful dice roll (without toppling books) that moves the tray forwards scores 2 points. Deduct 1 point if any book is knocked down, and reset the tray to the last successful position. The player with the most points after reaching the finish line wins.","['Book', 'Tray', 'Pillow', 'Dice']",166,many_human4_0.0,2,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Kalimba Melodies,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]","A musical creativity challenge where participants take turns playing and notating melodies on a kalimba, evaluating each other's performances for creativity and originality.","The kalimba is placed on one of the desks in the room. Participants sit side by side with the notebook and pen accessible for writing down notes and feedback. The first participant plays an original melody on the kalimba, while the other listens and then records their impressions in the notebook. Afterward, participants switch roles, repeating the process.",The objective is to create the most original and pleasing melody using the kalimba. Each participant aims to impress the other with their musical creativity.,"After each performance, the listener scores the melody on a scale of 1-10 based on creativity and originality. The participant with the highest total score after both have played wins.","['Kalimba', 'Notebook', 'Pen', 'Other people']",167,many_human5_0.0,0,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Chess Strategy Showdown,"[{'name': 'Chess board & pieces', 'quantity': 1}, {'name': 'Clock', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]","A strategic chess game where each move is timed, and players must quickly adapt and execute their strategies under pressure.","Set up the chessboard on a desk and place the clock nearby. Each player sits on opposite sides of the board. The clock is used to time each player's turn, with a 2-minute limit per move.","To win the chess game by putting the opponent in checkmate, while managing the pressure of the time limit for each move.","The winner of the game is determined by checkmate. If no checkmate occurs within an hour, the player with more significant captures and strategic board control, as agreed upon by both participants, is declared the victor.","['Chess board&pieces', 'Clock', 'Other people']",168,many_human5_0.0,1,GPT-4o,3,human_many
gpt-4o-2024-08-06,1,naive,Creative Basketball Toss,"[{'name': 'Trash can', 'quantity': 1}, {'name': 'Basketball', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Chair', 'quantity': 4}]","An indoor basketball-style challenge where participants aim to score from different positions and with different objects, testing precision and creativity.",Arrange three chairs at varying distances from the trash can to act as the shooting positions. The fourth chair is set behind the trash can as a backboard. Participants take turns standing on the selected shooting position to aim and score either the basketball or the waste paper ball into the trash can.,To score as many points as possible from different shooting positions using both the basketball and the waste paper ball for added challenge and creativity.,"Each successful shot with the waste paper ball scores 1 point, while the basketball scores 3 points. Participants take five shots per round, rotating through different chairs. The player with the highest total score across three rounds wins.","['Trash can', 'Basketball', 'Waste paper ball', 'Chair']",169,many_human5_0.0,2,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Waste Basketball Challenge,"[{'name': 'waste paper ball', 'quantity': 1}, {'name': 'trash can', 'quantity': 1}, {'name': 'chair', 'quantity': 2}, {'name': 'clock', 'quantity': 1}]","Participants take turns trying to throw a waste paper ball into a distant trash can while sitting on a chair. The aim is to successfully score as many ""baskets"" as possible in a limited time.",Place the trash can at one end of the room. Position the two chairs in a line approximately 10 feet from the trash can. Set up the clock in view of the participants to keep time. The waste paper ball is shared between the participants.,Aim to throw the waste paper ball into the trash can while seated.,"Each successful throw into the trash can earns 3 points. Each round lasts for 60 seconds, and players alternate after each attempt. The player with the most points after six rounds (three each) wins.","['Waste paper ball', 'Trash can', 'Chair', 'Clock']",170,many_human6_0.0,0,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Balancing Act,"[{'name': 'clothes hangers', 'quantity': 2}, {'name': 'potted plants', 'quantity': 1}, {'name': 'book', 'quantity': 5}, {'name': 'sofa', 'quantity': 1}]",Participants try to balance books on the flat top of a potted plant using clothes hangers as tools without touching the books with their hands.,"Place the potted plant on the sofa. Stack the books near the sofa. Participants stand next to the sofa with one clothes hanger each, which they’ll use to maneuver and balance the books on the plant.",Balance as many books as possible on the potted plant using clothes hangers within the time limit.,1 point is awarded for each book successfully balanced by the end of 3 minutes. Deduct 1 point for each book that falls off within the timeframe. The participant with the highest score at the end of the session wins.,"['Clothes hangers', 'Potted plants', 'Book', 'Sofa']",171,many_human6_0.0,1,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Symphonic Improv,"[{'name': 'kalimba', 'quantity': 1}, {'name': 'notebook', 'quantity': 1}, {'name': 'pen', 'quantity': 1}, {'name': 'clock', 'quantity': 1}]","One participant plays a short melody on the Kalimba, and the other writes down lyrics or notes to fit the mood and rhythm within a time limit.","The Kalimba is held by one person who improvises melodies. The notebook and pen are used by the other person to jot down lyrics or descriptive notes. Use the clock to manage time, with a visible view for both participants.",Collaboratively create a short piece of music and accompanying lyrics or notes within a set time.,"Creativity: Rate the creativity of the final piece from 1 to 5. Cohesiveness: Rate how well the music and lyrics fit together from 1 to 5. Enjoyment: Participants rate how fun the task was from 1 to 5. Total possible score is 15, with higher scores indicating better performance.","['Kalimba', 'Notebook', 'Pen', 'Clock']",172,many_human6_0.0,2,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Kalimba & Movement Challenge,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Treadmill', 'quantity': 1}, {'name': 'Clock', 'quantity': 1}]",Players take turns walking on the treadmill while playing a sequence on the kalimba. The aim is to maintain a steady walking speed and correctly play a musical sequence.,"Position the Kalimba within the reach of the treadmill's user. Set the treadmill to a comfortable walking speed. Use the clock to time each player's attempt for 2 minutes. Players alternate turns using the treadmill and playing the kalimba, and they must try to play a simple melody without stopping their walk.",The task's objective is to successfully play a sequence on the kalimba while maintaining a steady walking speed on the treadmill for the entire duration.,Each correct note played while walking on the treadmill counts as 1 point. Deduct 1 point for each mistake or any instance where the player stops walking. The highest-scoring player at the end of a predetermined round number wins.,"['Kalimba', 'Treadmill', 'Clock']",173,many_human7_0.0,0,GPT-4o,3,human_many
gpt-4o-2024-08-06,1,naive,Trash Can Basketball,"[{'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}, {'name': 'Clock', 'quantity': 1}, {'name': 'Chair', 'quantity': 4}]",Players take turns attempting to throw a waste paper ball into a trash can from various distances.,"Arrange the chairs at different distances from the trash can to act as shooting positions. Use the clock to time each player's round for 1 minute. Players stand on chairs and throw the waste paper ball into the trash can, moving from nearer to further chairs once they make a shot from the closest position.",Successfully land the waste paper ball into the trash can from all chair positions within one minute.,Each successful throw into the trash can is worth 2 points. The player who accumulates the most points within the time limit is declared the winner.,"['Waste paper ball', 'Trash can', 'Clock', 'Chair']",174,many_human7_0.0,1,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Creative Storytime Showdown,"[{'name': 'Book', 'quantity': 2}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'TV', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]","Two people compete to create an entertaining story by reading from books, taking notes, and presenting their story to the other person, who will then rate it.","Each participant chooses a book and is given 10 minutes to read and make story notes using the notebook and pen. Afterward, participants take turns sharing their stories in front of the TV (as a fake audience), explaining their tales in a dramatic way.",Create and deliver the most captivating story based on the chosen book excerpts.,"The listener rates the story on creativity, presentation, and coherence on a scale of 1 to 5 (with 5 being the best) in each category. The player with the higher combined score wins the round.","['Book', 'Notebook', 'Pen', 'Other people', 'TV']",175,many_human7_0.0,2,GPT-4o,5,human_many
gpt-4o-2024-08-06,1,naive,Kalimba Concert Challenge,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Clock', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}]",A two-player game where participants play a kalimba tune within a set time. The goal is to produce a harmonious melody judged by creativity and timing.,"Set up the chair for the performer in the center of the room. The player sits with the kalimba, and the clock is positioned nearby to keep time. The other person acts as the judge, listening and timing the performance.","Each participant aims to create the most captivating 2-minute performance on the kalimba, showcasing creativity and timing.","Performances are scored out of 10 based on two criteria: creativity (up to 5 points) and timing (up to 5 points). The judge awards points after each performance, and the player with the highest score wins.","['Kalimba', 'Clock', 'Other people', 'Chair']",176,many_human8_0.0,0,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Skyscraper Stack,"[{'name': 'Building block', 'quantity': 5}, {'name': 'Tray', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}]","A solo game where the player builds the tallest and most stable block tower on a tray that should withstand a ""wind"" challenge.","Place the tray on a desk. The player uses the 5 building blocks to build a tower on the tray. Once the tower is built, the player blows the waste paper ball towards the tower to simulate wind.",Construct the tallest stable tower that remains standing after being hit by the paper ball.,The score is calculated based on height and stability. The player earns 2 points per block used in the structure when the wind doesn't topple the tower. A bonus of 3 points is given if all blocks are utilized without falling.,"['Building block', 'Tray', 'Waste paper ball']",177,many_human8_0.0,1,GPT-4o,3,human_many
gpt-4o-2024-08-06,1,naive,Living Room Basketball,"[{'name': 'Basketball', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}]",A solo game where the player attempts to throw the waste paper ball into the trash can from different positions using the basketball as a dribbling object.,"The trash can is placed near the center of the room. The player uses a chair to mark different shooting positions at various distances from the can. The player starts from a marked spot, dribbles the basketball while moving to the position, and then attempts to throw the waste paper ball into the trash can.","Successfully score the paper ball into the trash can from various spots after dribbling the ball, promoting hand-eye coordination and precision.",Each successful basket earns the player 2 points. Completing a round from all positions without missing any baskets grants an additional 5-point bonus.,"['Basketball', 'Waste paper ball', 'Trash can', 'Chair']",178,many_human8_0.0,2,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Book Tower Challenge,"[{'name': 'Books', 'quantity': 5}, {'name': 'Tray', 'quantity': 1}]","In this task, participants use the available books to build the tallest possible tower on a tray. The challenge is to create a stable tower that stands for at least 10 seconds without collapsing.","Place the tray on a flat surface, such as the desk or rug, as the foundation for the tower. Stack the books one by one, trying to build as high a tower as possible. Participants take turns stacking books until the tower falls.",The goal is to build the tallest possible tower using all available books that can stand for at least 10 seconds.,Points are awarded based on the height of the tower in books: 1 point for each book successfully stacked. Bonus of 2 points if the tower stands for at least 10 seconds after the final book is placed. The player with the most points after all rounds wins the challenge.,"['Book', 'Tray']",179,many_human9_0.0,0,GPT-4o,2,human_many
gpt-4o-2024-08-06,1,naive,Kalimba Melody Maker,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Participants use the kalimba to create a short melody and transcribe it into the notebook. Each person will perform their melody and receive feedback from the other participant.,"Sit comfortably on the sofa or a chair with the kalimba and notebook in front of you. Spend a few minutes experimenting with different notes, then compose a short melody of 8-12 notes. Write the sequence of notes in the notebook with the pen.",The goal is to create an original melody and demonstrate the ability to play it consistently.,Scores are given in two categories: Creativity: Rated 1-5 by the listener based on originality and enjoyment of the melody. Consistency: Rated 1-5 based on the performer's ability to play the melody without errors in 3 consecutive attempts. The total score is the sum of both ratings.,"['Kalimba', 'Notebook', 'Pen']",180,many_human9_0.0,1,GPT-4o,3,human_many
gpt-4o-2024-08-06,1,naive,Waste Paper Toss,"[{'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}]","A fun, single-player activity where the participant sits on a chair and attempts to toss a waste paper ball into a trash can with various challenges.","Place the trash can a reasonable distance away from the chair, directly in line with where the participant is seated. The chair can be repositioned, but the participant must always be seated when throwing.",The goal is to successfully toss the waste paper ball into the trash can as many times as possible within a set number of attempts.,"Each successful toss into the trash can is worth 2 points. If the participant can make 3 consecutive successful tosses, they earn an additional bonus of 3 points. The total is the sum of all successful tosses and bonuses accumulated in 10 attempts.","['Waste paper ball', 'Trash can', 'Chair']",181,many_human9_0.0,2,GPT-4o,3,human_many
gpt-4o-2024-08-06,1,naive,Dice Bowling Challenge,"[{'name': 'Dice', 'quantity': 1}, {'name': 'Bowl', 'quantity': 4}, {'name': 'Chair', 'quantity': 1}, {'name': 'Tray', 'quantity': 1}]",Create a miniature bowling alley using bowls as pins and dice as a bowling ball. Knock over as many bowls as possible with the dice for a score.,"Arrange three bowls in a triangular formation at one end of a tray to act as pins, with one in front and two directly behind it. Place one bowl upside down on the other end of the tray to support the dice before rolling. The player sits on a chair behind the tray, rolling the dice across the tray to hit the bowls.",The objective is to knock over the maximum number of bowls with a single roll of the dice.,"Each bowl knocked down counts as 1 point. A perfect strike, where all three bowls are knocked down in a single roll, scores an additional bonus point, for a total of 4 points. Each player gets five turns, and the highest cumulative score wins.","['Dice', 'Bowl', 'Chair', 'Tray']",182,many_human10_0.0,0,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Book Stack Balancing Act,"[{'name': 'Book', 'quantity': 5}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Tray', 'quantity': 1}]","Balance as many books as possible on a tray, then try to slide a waste paper ball under the tray without toppling the stack.","Place a tray on a flat surface like a desk. One by one, stack up to five books vertically on the tray. Once the books are stacked, attempt to slide the waste paper ball under the tray without the books falling over.",The aim is to balance all five books and successfully slide the paper ball under the tray without dislodging any books.,Each successfully balanced book before sliding the waste paper ball earns 1 point. Successfully sliding the ball without toppling any books earns an additional 2 points. The maximum score possible is 7 points.,"['Book', 'Waste paper ball', 'Tray']",183,many_human10_0.0,1,GPT-4o,3,human_many
gpt-4o-2024-08-06,1,naive,Pillow Target Toss,"[{'name': 'Pillow', 'quantity': 2}, {'name': 'Basketball', 'quantity': 1}, {'name': 'Rug', 'quantity': 1}]","Throw a pillow and aim to land it on a target created on a rug, making use of the basketball to define target zones for scoring.","Lay the rug flat on the floor and place the basketball in the middle as a bullseye target. The player stands a few feet away and throws pillows, aiming to land them as close to the basketball as possible. A circle around the basketball can be imagined visually for scoring zones.",Get the pillow to land closest to the basketball for the highest score.,"Pillow landing on or touching the basketball scores 5 points. A pillow landing within an imagined one-foot radius surrounding the basketball scores 3 points. A pillow outside this zone but still on the rug scores 1 point. Each player has two pillow tosses, and the total score for both attempts determines the winner.","['Pillow', 'Basketball', 'Rug']",184,many_human10_0.0,2,GPT-4o,3,human_many
gpt-4o-2024-08-06,1,naive,Obstacle Course Adventure,"[{'name': 'Chair', 'quantity': 4}, {'name': 'Basketball', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Broom', 'quantity': 1}, {'name': 'Desk', 'quantity': 2}, {'name': 'Rug', 'quantity': 1}, {'name': 'Pillow', 'quantity': 2}]",Create a fun and challenging obstacle course within the room using available items. The objective is to navigate through the course as quickly and accurately as possible.,"Arrange the chairs to create a zig-zag path in the room. Use the desks as hurdles that participants must jump over or crawl under. Place the rug as a 'safe zone' where participants can rest for two seconds. Position the basketball at one end to be dribbled through the zig-zag path, while retaining accuracy. Lay the broom as a balance beam, and use the pillows as stepping stones through which participants hop without touching the floor. Set the waste paper ball as a target that must be hit with a foot before finishing the course.","The goal of the task is to complete the entire obstacle course correctly in the shortest time possible, navigating all obstacles and achieving related objectives like dribbling the basketball and hitting the target.","Participants receive 10 points for completing the course. For every obstacle they touch incorrectly (e.g., chairs hit while dribbling or stepping off pillows), 1 point is deducted. The fastest time earns bonus points: 5 bonus points for under 2 minutes and 3 points for under 3 minutes. The person with the highest points after deductions is the winner.","['Chair', 'Basketball', 'Waste paper ball', 'Broom', 'Desk', 'Rug', 'Pillow']",185,many_human11_0.0,0,GPT-4o,7,human_many
gpt-4o-2024-08-06,1,naive,Newspaper Bowling,"[{'name': 'Newspaper', 'quantity': 1}, {'name': 'Bowl', 'quantity': 4}, {'name': 'Waste paper ball', 'quantity': 1}]",Create a fun mini-bowling game using items found in the room. Roll the waste paper ball to knock over newspaper-coned pins.,Roll the newspaper into tall pin shapes and place them upright at one end of the room to resemble bowling pins. Arrange the newspaper pins in a triangle formation using one Bowl to support the base of each rolled newspaper. Stand at least five feet away from the pins. Use the waste paper ball as a bowling ball to knock over the pins by rolling it towards them.,Knock down all the newspaper pins in as few rolls as possible.,"Each pin knocked down with a single roll is worth 2 points. If all pins are knocked down in one roll, it's a strike worth 10 points. If all pins are knocked down across multiple rolls, it's a spare worth 5 points. Total the points for each round. The game can be played in a series of rounds with the highest total score winning.","['Newspaper', 'Bowl', 'Waste paper ball']",186,many_human12_0.0,0,GPT-4o,3,human_many
gpt-4o-2024-08-06,1,naive,Artistic Story Creation,"[{'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Paintings', 'quantity': 2}, {'name': 'Book', 'quantity': 1}]",Use paintings as inspiration to create an imaginative story and write it down in the notebook.,"Set up both paintings at eye level on a wall or propped against a desk. Sit on the sofa or a chair with the notebook and pen in hand. Use one of the books to reference writing styles or for inspiration if necessary. Spend a moment observing the paintings, then begin writing an original story inspired by them.","Craft a short story with a clear beginning, middle, and end based on visual inspiration from the paintings.","Upon completion, evaluate the story based on creativity, coherence, and connection to the paintings. Rate each criterion on a scale of 1 to 5. Calculate a total score out of 15. Sharing the story with ""Other people"" for additional feedback can provide an extra subjective opinion score.","['Notebook', 'Pen', 'Paintings', 'Book']",187,many_human12_0.0,1,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Chess Cup Balance,"[{'name': 'Chess board & pieces', 'quantity': 1}, {'name': 'Cup', 'quantity': 2}, {'name': 'Table', 'quantity': 1}]","A balance challenge using chess pieces and cups, testing steady hands and strategic stacking without toppling.","Set the chessboard on a flat surface such as a desk. Players take turns stacking chess pieces inside the cup, balancing them as high as possible without knocking them over. Cups can also be used to keep the base stable by flipping and using them as stands for more challenging stability.",Balance and stack the most chess pieces inside and on top of the cups without causing the arrangement to fall.,"Each successfully balanced piece is worth 1 point. The player who stacks and balances the most pieces without falling wins. In the event of a tie, use a timer to determine who stacked the pieces quickest or continue for a second round.","['Chess board&pieces', 'Cup', 'Desk']",188,many_human12_0.0,2,GPT-4o,3,human_many
gpt-4o-2024-08-06,1,naive,Chess Speed Challenge,"[{'name': 'Chess board&pieces', 'quantity': 1}, {'name': 'Clock', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Two players compete against each other in a fast-paced game of chess. The objective is to make quick decisions to capture the opponent's king within a limited time.,Set up the chess board on a desk. Place the clock next to the board to keep track of time. Each player has a notebook and pen to jot down their moves. The clock is set for 5-minute intervals for each player.,The goal is to checkmate the opponent within their designated 5-minute time frame.,"A point is awarded for each piece the player captures from their opponent. An additional 5 points are given for successfully checkmating the opponent within the time limit. If time runs out before a checkmate, the player with more captured pieces wins.","['Chess board&pieces', 'Clock', 'Notebook', 'Pen']",189,many_human13_0.0,0,GPT-4o,4,human_many
gpt-4o-2024-08-06,1,naive,Pillow Throw Accuracy,"[{'name': 'Pillow', 'quantity': 2}, {'name': 'Basket-ball', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}]",Participants must accurately throw objects to land them inside a target area by using pillows to alter the trajectory.,Set up the trash can across the room. Use the pillows placed midway to create a barrier. Participants will take turns attempting to throw the basketball or wastepaper ball into the trash can by bouncing it off the pillows.,"The objective is to hit the target by strategically using the pillows to assist in bounce throws, ensuring the object lands inside the trash can.",Each successful shot into the trash can using the basketball counts as 3 points and the wastepaper ball counts as 1 point. The player with the highest total score after five throws each wins.,"['Pillow', 'Basketball', 'Waste paper ball', 'Trash can']",190,many_human13_0.0,1,GPT-4o,4,human_many
