idx,PROLIFIC_PID,userSetting,model_name,temperature,taskName,required_items,taskDescription,detailedSetting,goalSetting,scoringSystem,ObjectsData,TaskOrder,TaskID,nObjects,ValidTaskID
21,49,dummy_few,gpt-4o-2024-08-06,1,Creative Story Challenge,"[{'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Book', 'quantity': 1}, {'name': 'Pillow', 'quantity': 1}]","Use a book to inspire a short creative story written by hand during a relaxed, comfortable session.","Choose a comfortable spot on the sofa, using a pillow for back support. Open the notebook and select any book from the provided ones as an inspiration. Spend a few minutes skimming through it until an idea sparks. Then, use the pen to write a short story of at least 300 words in the notebook.","The objective is to inventively express yourself through story writing, drawing from the chosen book's themes or characters.",Evaluate the creativity and enjoyment of your story on a 1-10 scale. Higher scores reflect higher creativity and personal enjoyment during the creation process.,"['Notebook', 'Pen', 'Book', 'Pillow']",1,70,4,69
21,49,dummy_few,gpt-4o-2024-08-06,1,Room Vision Board,"[{'name': 'Poster', 'quantity': 1}, {'name': 'Newspaper', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Tray', 'quantity': 1}, {'name': 'Paintings', 'quantity': 2}]","Create a vision board on a poster using clippings from the newspaper, reflecting on personal aspirations for the future.","Lay the tray on a desk to organize materials. Place the poster on the desk and cut out inspiring words or images from the newspaper. Arrange these around the poster, using the paintings as inspiration for aesthetics and themes. With the pen, write words or draw symbols that resonate with your future aspirations around the clippings.",To craft a cohesive and visually appealing vision board that captures your dreams and goals.,"Rate the completeness, personal relevance, and aesthetic appeal of the vision board on a 1-10 scale. Scores will reflect how well the board aligns with personal aspirations and its visual appeal.","['Poster', 'Newspaper', 'Pen', 'Tray', 'Paintings']",2,71,5,70
22,50,human_many,gpt-4o-2024-08-06,1,Collaborative Poster Story,"[{'name': 'Poster', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]","A storytelling activity with a partner, using a poster to illustrate plot points.","With the poster on a wall or flat surface, and the pen available, both participants alternate adding elements to a narrative, writing or drawing on the poster.",To collaboratively create a cohesive story by contributing alternating entries on the poster.,"Each addition should logically connect to the previous one. Each successful, logical continuation earns 1 point. Bonus points for creativity and coherence might be awarded by mutual consent.","['Poster', 'Pen', 'Other people']",0,72,3,71
22,50,human_many,gpt-4o-2024-08-06,1,Basket Toss Balance,"[{'name': 'Trash can', 'quantity': 1}, {'name': 'Clothes hangers', 'quantity': 2}, {'name': 'Tennis ball', 'quantity': 1}]",A solo challenge to test coordination and precision using everyday objects.,"Place the trash can at one end of the room. Use the clothes hangers bent to form hurdles or hoops, through which the tennis ball must be tossed into the trash can from a distance.",Successfully toss the tennis ball through the clothes hangers and into the trash can.,Each successful toss through the hangers earns 2 points. Landing the ball in the trash can earns 5 points.,"['Trash can', 'Clothes hangers', 'Tennis ball']",1,73,3,72
22,50,human_many,gpt-4o-2024-08-06,1,Timed Chess Blitz,"[{'name': 'Chess board&pieces', 'quantity': 1}, {'name': 'Clock', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]",A fast-paced chess game to stimulate strategic thinking.,"Set up the chess board, and use the clock to time each player's move to 1 minute.",Win the game by checkmating the opponent or having more pieces at the end of a 20-minute period.,"Victory delivers 10 points, while each captured piece awards 1 point.","['Chess board&pieces', 'Clock', 'Other people']",2,74,3,73
22,50,human_many,gpt-4o-2024-08-06,1,Plant Insight Reflection,"[{'name': 'Potted plants', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",An introspective activity to observe and note thoughts inspired by nature.,"Sit with the potted plant and observe it quietly, using the notebook to jot down reflections or creative thoughts prompted by the plant's features.",Spend time in reflection and write insightful or descriptive entries related to the plant.,Rate the quality and depth of insights on a scale from 1 to 10 based on personal satisfaction and creativity.,"['Potted plants', 'Notebook', 'Pen']",3,75,3,74
22,50,human_many,gpt-4o-2024-08-06,1,Rug Puzzle Race,"[{'name': 'Building block', 'quantity': 5}, {'name': 'Rug', 'quantity': 1}]",A creative spatial task using blocks to construct a structure.,"Lay out the rug as the build surface and challenge yourself to construct a building using all 5 blocks in under a set time limit, e.g., 5 minutes.",Successfully create a stable and innovative structure using all the blocks.,Completion within time earns 10 points. Stability (when not touching the structure) earns an extra 5 points. Creativity judged by a personal standard may earn additional points (up to 5).,"['Building block', 'Rug']",4,76,2,75
23,51,dummy_many,gpt-4o-2024-08-06,1,Kalimba Tranquility,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}]","This task involves playing the Kalimba to create a soothing melody, using a simple pattern of notes that enhances relaxation and mindfulness.","Sit comfortably on the chair. Hold the Kalimba in your hands; if unfamiliar with it, start by experimenting with different notes until you find a combination that you find peaceful.","Create a calming melody that you can play and replay, aiming to achieve a state of relaxation.","Rate the relaxation and enjoyment of your melody on a scale of 1 to 10, with 10 being completely relaxed and content.","['Kalimba', 'Chair']",0,77,2,76
23,51,dummy_many,gpt-4o-2024-08-06,1,Strategic Blocks,"[{'name': 'Building block', 'quantity': 5}, {'name': 'Notebook', 'quantity': 1}]",Use imagination and strategic thinking to stack blocks as high as possible on a makeshift game board without tumbling.,"Open the notebook flat to use as a base. Strategically place each building block to create a tower, adjusting balance with each new block added.","Build the tallest tower possible without causing it to fall, testing balance and strategic planning.",Award 1 point for each block successfully added to the tower. The game ends if the tower collapses.,"['Building block', 'Notebook']",1,78,2,77
23,51,dummy_many,gpt-4o-2024-08-06,1,Basket Sink,"[{'name': 'Basketball', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}]",A game where the goal is to score as many throws as possible by shooting a basketball into a trash can from different marked positions.,Position the trash can in a corner of the room. Mark different spots of various distances from the trash can using imaginary lines or by spacing with strides.,Successfully score more points by making successful throws from each marked spot.,Each successful throw is worth 2 points. Try five attempts from each marked spot.,"['Basketball', 'Trash can']",2,79,2,78
23,51,dummy_many,gpt-4o-2024-08-06,1,Picture Puzzler,"[{'name': 'Paintings', 'quantity': 2}, {'name': 'Book', 'quantity': 1}]",An artistic and thoughtful challenge that involves observing two paintings and using them to create a thematic story inspired by any of the books.,"Place both paintings where they can be viewed side-by-side. Select a book, and based on a theme or character from the book, construct a short story or narrative inspired by both paintings.",Create a coherent and creative story that links elements from the paintings to a narrative in the book.,"Evaluate the coherence and creativity of the story by rating it from 1 to 10, with 10 reflecting an exceptionally innovative and well-integrated narrative.","['Paintings', 'Book']",3,80,2,79
24,52,human_many,gpt-4o-2024-08-06,1,Indoor Garden Miniature,"[{'name': 'Potted plants', 'quantity': 1}, {'name': 'Building block', 'quantity': 5}, {'name': 'Tray', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}]",Create a small indoor garden setup using the building blocks as miniature design elements around the potted plant. Document the layout in the notebook along with the garden's theme and elements.,"Place the potted plant in the center of the tray. Use building blocks to design imaginative structures around the plant. It could be a miniature fence, a bench, or even a small house. Note each structure in the notebook, with sketches or descriptions using the pen, and give your garden a unique theme.","The goal is to creatively design a miniature garden and document its theme and elements, drawing inspiration from nature and interior design principles.","Rate creativity on a scale of 1-5, where 1 is no creativity and 5 is highly creative and innovative. Bonus points (1-3) for thematic consistency and the complexity of block structures.","['Potted plants', 'Building block', 'Tray', 'Pen', 'Notebook']",0,81,5,80
24,52,human_many,gpt-4o-2024-08-06,1,Mindful Reading Retreat,"[{'name': 'Sofa', 'quantity': 1}, {'name': 'Book', 'quantity': 1}, {'name': 'Pillow', 'quantity': 1}, {'name': 'Lamp', 'quantity': 1}]","Enjoy a quiet session of reading on the sofa with a pillow for comfort and lamp for adequate lighting, while reflecting on the themes and ideas presented in the book.","Arrange the pillow on the sofa for optimal comfort and position the lamp to provide a soft glow over the reading area. Select a book from the available options. Settle down on the sofa and immerse yourself in the book's narrative, taking pauses to reflect or take notes in a mental journal.","The aim is to enjoy a peaceful reading experience, allowing the mind to explore new ideas and thoughts presented in the book, providing relaxation and intellectual stimulation.","Use a subjective scale, rating the relaxation and insight gained from 1-10 after completing the reading session, where 10 is thoroughly relaxed and inspired, 1 being unchanged or less engaged.","['Sofa', 'Book', 'Pillow', 'Lamp']",1,82,4,81
24,52,human_many,gpt-4o-2024-08-06,1,Kalimba Acoustic Session,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Sofa', 'quantity': 1}]","Spend time composing a short melody on the Kalimba, noting down musical ideas or lyrics in the notebook, while seated comfortably on the sofa.","Sit comfortably on the sofa with the Kalimba in hand and place the notebook beside you. Let your fingers explore the Kalimba keys, experimenting with different tunes and sounds. Note down any melody, tune, or lyrical ideas that come to you.",To engage in a creative musical activity that focuses on sound exploration and self-expression through improvisation and composition.,"Rate the satisfaction and creativity of the music piece on a scale from 1-5, where 5 is a highly satisfying and original composition. Add bonus points (1-2) for incorporating complex or novel musical ideas.","['Kalimba', 'Notebook', 'Sofa']",2,83,3,82
25,53,dummy_many,gpt-4o-2024-08-06,1,Strategic Tower Building,"[{'name': 'Building block', 'quantity': 5}, {'name': 'Waste paper ball', 'quantity': 1}]",Construct a stable tower using building blocks with a waste paper ball precariously balanced as the topmost piece.,"Arrange the building blocks on a flat surface like a desk. Begin stacking the blocks into a tower, leaving the topmost slot for the waste paper ball. The challenge is to balance the waste paper ball on top without the tower collapsing.","Build the tallest, most stable tower with the waste paper ball balanced on top for at least 10 seconds.","- Balance achieved for 10 seconds: 5 points
- Balance achieved for 5 seconds: 3 points
- Balance achieved for less than 5 seconds: 1 point
- If the tower collapses immediately: 0 points","['Building block', 'Waste paper ball']",0,84,2,83
25,53,dummy_many,gpt-4o-2024-08-06,1,Kalimba Melody Session,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Compose and play a soothing melody on the Kalimba while documenting the notes in a notebook.,"Sit comfortably, perhaps on the sofa or chair. Use the pen and notebook to jot down your musical ideas and create a simple melody. Practice playing the melody several times on the Kalimba.",Create and play a melody that lasts at least 30 seconds while documenting the sequence in the notebook.,"- Completed melody documented and played flawlessly: 5 points
- Melody with minor mistakes: 3 points
- Incomplete or incoherent melody: 1 point","['Kalimba', 'Notebook', 'Pen']",1,85,3,84
25,53,dummy_many,gpt-4o-2024-08-06,1,Newspaper Art Collage,"[{'name': 'Newspaper', 'quantity': 1}, {'name': 'Poster', 'quantity': 1}, {'name': 'Tissue', 'quantity': 1}]","Craft an art collage using images and text cut from the newspaper, arranged creatively on the back of a poster.","Cut out images and text from the newspaper, then glue or tape them onto the back side of the poster. Make sure the design is creative and thought-provoking, reflecting a theme or story.",Create a visually appealing collage with at least five distinct newspaper pieces integrated into a coherent theme.,"- Clear theme with coherent visual narrative: 5 points
- Somewhat clear theme, incomplete narrative: 3 points
- Random arrangement, lacks theme: 1 point","['Newspaper', 'Poster', 'Tissue']",2,86,3,85
26,54,dummy_many,gpt-4o-2024-08-06,1,Creative Story Building,"[{'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Book', 'quantity': 1}]","Use random prompts from a book to create a short, imaginative story in a notebook.","Place the notebook and pen on the desk. Select any random book available. Flip to a random page and choose the first sentence or phrase you see. This sentence becomes the starting point for your story. You continue the story using your creativity and imagination, writing it down in your notebook.",To craft a unique and complete short story inspired by random prompts within 30 minutes.,"Rate the story on creativity (1-10), coherence (1-10), and personal satisfaction (1-10). A higher total score indicates a more successful story.","['Notebook', 'Pen', 'Book']",0,87,3,86
26,54,dummy_many,gpt-4o-2024-08-06,1,Plant Arrangement Art,"[{'name': 'Potted plants', 'quantity': 1}, {'name': 'Building blocks', 'quantity': 5}, {'name': 'Tray', 'quantity': 1}]",Create an artistic display using a potted plant and building blocks arranged on a tray.,"Place the tray on a desk or table. Use the building blocks to design a decorative structure around or alongside the potted plant, enhancing its natural presentation. The tray acts as your art platform to contain this mini-garden arrangement.",To create a visually appealing and balanced arrangement that complements the plant's natural beauty.,"Assess the arrangement on aesthetics (1-10), creativity (1-10), and stability (1-10), combining scores for a total out of 30.","['Potted plants', 'Building block', 'Tray']",1,88,3,87
27,55,dummy_many,gpt-4o-2024-08-06,1,Mindful Reading Session,"[{'name': 'Book', 'quantity': 1}, {'name': 'Pillow', 'quantity': 1}, {'name': 'Lamp', 'quantity': 1}]","Engage in a mindful reading session, focusing deeply on every word and concept to enhance comprehension and immerse yourself in the literature.","Sit comfortably on the sofa with the pillow for support. Turn on the lamp to provide perfect lighting conducive to reading. Select any of the available books and place the rest aside. Dedicate a set period (e.g., 30 minutes) to reading while paying full attention to the text.","The goal is to fully engage with the text and enhance your understanding and enjoyment of the book, promoting relaxation and mental expansion.","After the session, rate your understanding and enjoyment of the book on a scale of 1 to 10, with 10 being highly engaged and fully comprehending the material, and 1 being disengaged and unfulfilling.","['Book', 'Pillow', 'Lamp']",0,90,3,88
27,55,dummy_many,gpt-4o-2024-08-06,1,Miniature Zen Garden Creation,"[{'name': 'Tray', 'quantity': 1}, {'name': 'Potted plants', 'quantity': 1}, {'name': 'Building block', 'quantity': 5}, {'name': 'Waste paper ball', 'quantity': 1}]",Create a miniature zen garden using available objects to foster creativity and tranquility.,Place the tray on the desk as the base of your zen garden. Use the building blocks to represent structures or pathways. Arrange the potted plant nearby to denote greenery. Use the waste paper ball for an abstract art piece or focal point. Organize the items on the tray in a way that is aesthetically pleasing and evokes calmness.,The objective is to construct a visually pleasing zen garden layout that elicits feelings of peace and satisfaction.,"Rate the final layout on a scale of 1 to 10 based on aesthetic harmony and the tranquility it brings to you, with 10 being a perfectly peaceful arrangement and 1 being chaotic and unstimulating.","['Tray', 'Potted plants', 'Building block', 'Waste paper ball']",1,91,4,89
27,55,dummy_many,gpt-4o-2024-08-06,1,Strategic Chess Solitude,"[{'name': 'Chess board&pieces', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]","Play a deliberate and strategic game of chess against yourself, documenting thoughts and tactics.","Set up the chess board on a desk. Use the notebook and pen to document strategic moves, thoughts, and possible future advantages. Take turns for each color, consciously analyzing each move's impact.",The aim is to enhance strategic thinking skills by playing both sides and evaluating each move's consequences systematically.,"After completing the match, assess the quality of strategic decisions and learning experiences on a scale of 1 to 10, with 10 indicating significant strategic insights and 1 indicating minimal learning.","['Chess board&pieces', 'Notebook', 'Pen']",2,92,3,90
28,56,human_few,gpt-4o-2024-08-06,1,Plant Meditation,"[{'name': 'Potted plants', 'quantity': 1}, {'name': 'Rug', 'quantity': 1}, {'name': 'Pillow', 'quantity': 1}]",Spend time quietly meditating with the potted plant as a focal point to appreciate nature and enhance personal well-being.,"Place the rug on the floor around the potted plants. Sit comfortably on the pillow on the rug, positioning yourself close enough to the plant to focus on its details.",The goal is to connect with nature and achieve a sense of tranquility and peace.,"Rate your calming experience on a scale from 1 to 10, with 10 being complete serenity and 1 being still tense.","['Potted plants', 'Rug', 'Pillow']",0,93,3,91
28,56,human_few,gpt-4o-2024-08-06,1,Mini Library Quest,"[{'name': 'Book', 'quantity': 3}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}]",Engage in a personal quest to explore different themes by reading snippets from multiple books and taking reflective notes.,"Arrange three selected books on a chair next to a seated area. With notebook and pen in hand, pick passages from each book, read, and write down thoughts or summaries in the notebook.",The aim is to draw connections between themes in the books and reflect on their meanings.,"Upon completing reflections, rate your insightfulness and inspiration from 1 to 5, where 5 signifies a profound personal impact and 1 represents no new ideas.","['Book', 'Notebook', 'Pen', 'Chair']",1,94,4,92
28,56,human_few,gpt-4o-2024-08-06,1,Time Management Challenge,"[{'name': 'Clock', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Test your ability to manage time effectively by planning and timing activities throughout a set duration.,"Use the clock to allocate specific minutes to different activities such as reading, organizing, or reflecting. Write these planned activities in the notebook and stick to the schedule using the clock for precision.",To enhance personal productivity through effective time management practices.,"Score your adherence to the planned schedule from 1 to 10, where 10 indicates a flawless execution and 1 indicates frequent diversions.","['Clock', 'Notebook', 'Pen']",2,95,3,93
29,57,human_many,gpt-4o-2024-08-06,1,Chess Strategy Session,"[{'name': 'Chess board&pieces', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Engage in a strategic chess match while noting down potential moves and strategies to refine your skills.,"Set up the chess board on the desk, and invite the other person in the room to play a game with you. Use the notebook and pen to jot down interesting strategies, key moves, or reflections on the game.","The goal is to practice strategic thinking, improve chess skills, and engage in healthy competition.","Award 1 point for every piece captured. Rate the quality of documented strategies on a scale from 1 to 5, with 5 being highly insightful. The player with the highest combined score wins.","['Chess board&pieces', 'Other people', 'Notebook', 'Pen']",0,96,4,94
29,57,human_many,gpt-4o-2024-08-06,1,Creative Build and Write,"[{'name': 'Building block', 'quantity': 5}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]",Create a unique structure using building blocks and write a story or description about it.,"Use the building blocks to construct an imaginative structure. Sit on the rug with the other person and collaboratively build, while each taking turns writing a story or detailed description of the imagined use or background of the structure in the notebook with the pen.",Develop creativity and storytelling prowess by linking structure and narrative.,Assign 1-5 points for creativity and originality based on the structure's uniqueness and the story's inventiveness. The highest combined score between both participants wins.,"['Building block', 'Notebook', 'Pen', 'Other people']",1,97,4,95
30,58,human_few,gpt-4o-2024-08-06,1,Newspaper Analysis Challenge,"[{'name': 'Newspaper', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}, {'name': 'Desk', 'quantity': 1}]",Analyze a section from the newspaper and jot down an insightful summary or critique.,"Sit at the desk with the newspaper, notebook, and pen, comfortably positioned. Choose an article or section from the newspaper. Read the content carefully, and use the notebook and pen to write a detailed summary or analysis, focusing on key points and providing personal insights.","To deeply engage with current events or topics, improve critical thinking, and hone written articulation skills.","Rate your summary or analysis on a scale from 1 to 10, based on completeness (covering all main points), critical insight (depth of analysis), and personal reflection (connecting the piece to broader societal issues).","['Newspaper', 'Notebook', 'Pen', 'Chair', 'Desk']",0,99,5,96
30,58,human_few,gpt-4o-2024-08-06,1,Potted Plant Photography,"[{'name': 'Potted plants', 'quantity': 1}, {'name': 'Chair', 'quantity': 2}, {'name': 'Desk', 'quantity': 1}, {'name': 'Lamp', 'quantity': 1}]",Create the best artistic photo of the potted plant using the available chairs and lamp for lighting and arrangement.,"Place the potted plant on one chair or the desk. Use the lamp to provide artistic lighting, adjust its position carefully to achieve desired effects. Use the other chair to stand or steady if needed for a better angle. Capture the plant from various angles, using the imaginary camera, imagining potential photographs.","To experiment with lighting and perspective, enhancing creativity and appreciation of natural beauty indoors.","Evaluate each imaginary composition's creativity, use of light, and overall aesthetic appeal on a scale from 1 to 10.","['Potted plants', 'Chair', 'Desk', 'Lamp']",1,100,4,97
30,58,human_few,gpt-4o-2024-08-06,1,Couch Bowling,"[{'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Bowl', 'quantity': 4}, {'name': 'Sofa', 'quantity': 1}, {'name': 'Rug', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}]",Create a makeshift bowling game by rolling a waste paper ball to knock down bowls set up like bowling pins.,"Set the rug in an open space in front of the sofa. Arrange the four bowls in a triangle formation on the rug, similar to bowling pins. Sit on the chair placed at an appropriate distance from the bowls. Roll the waste paper ball from the chair towards the bowls, aiming to knock down as many as possible.",To enjoy a fun and light physical activity while testing precision and aiming skills.,Score 1 point for each bowl knocked over. A perfect round (knocking all bowls over in one roll) earns a bonus of 2 extra points.,"['Waste paper ball', 'Bowl', 'Sofa', 'Rug', 'Chair']",2,101,5,98
31,59,human_many,gpt-4o-2024-08-06,1,Plant Poetry Challenge,"[{'name': 'Potted plants', 'quantity': 1}, {'name': 'Book', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}]","Create a poem inspired by the potted plant, using a book for potential themes and a pen for writing in a notebook.","Place the potted plant in front of you on a desk. Select a book from the available collection and open it to a random page, using it as a thematic inspiration for your poem. Have the pen and notebook ready to jot down your poetic ideas.",To write a complete poem that draws inspiration from the theme you have chosen from the book and the presence of the potted plant.,"Rate your poem based on creativity, coherence with the theme, and emotional depth on a scale of 1 to 10. An additional point can be awarded if you manage to incorporate direct inspiration from the plant's characteristics (e.g., its color, shape, or type of plant). Share with the other person if present to gain an external perspective.","['Potted plants', 'Book', 'Pen', 'Notebook']",0,102,4,99
31,59,human_many,gpt-4o-2024-08-06,1,Die Roll Story Game,"[{'name': 'Dice', 'quantity': 1}, {'name': 'Book', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]",Create a collaborative storytelling game using a dice to determine story elements.,"Sit comfortably on the sofa with the other person. Choose a book and agree on the type of story you want to create (e.g., mystery, adventure). Use the dice to randomize elements of the story: 1. Roll the dice to determine the main character's trait (1=Brave, 6=Cunning, etc.). 2. Roll for the setting (1=A field, 6=A city, etc.). 3. Roll to introduce plot twists (1=Discovery, 6=Conflict, etc.).",Develop a short story together based on the randomized elements determined by the dice roll.,"Each story element is scored on creativity and how well it fits with the overall story (1-5 scale). The total score is the sum of the scores for character, setting, and plot. Additionally, both participants can rate the enjoyment level of the story, adding extra points (1-5).","['Dice', 'Book', 'Other people']",1,103,3,100
31,59,human_many,gpt-4o-2024-08-06,1,Block Tower Challenge,"[{'name': 'Building block', 'quantity': 5}, {'name': 'Tray', 'quantity': 1}]",Construct the tallest possible tower using the building blocks on the tray without it toppling over.,"Place the tray on a flat surface such as a desk. Use the building blocks to construct a tower directly on the tray, attempting to make it as tall and stable as possible using all five blocks.",To build the tallest tower that remains standing on the tray for at least 10 seconds.,"Measure the height of the tower in blocks (count how many blocks high it stands). Earn additional points based on the steadiness of the tower: 1 extra point for each second after 10 seconds that it stands firm, up to a maximum of 5 extra points.","['Building block', 'Tray']",2,104,2,101
33,61,human_many,gpt-4o-2024-08-06,1,Desk Organization Challenge,"[{'name': 'Desk', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}]",Organizing the desk to create an efficient workspace using available items.,Arrange one desk as your working area. Use the notebook as a reference guide to allocate items on the desk: categorize items as essentials and non-essentials. Place non-essentials (like the waste paper ball) into the trash can. Use the pen to jot down an optimal desk organization strategy in the notebook.,"The goal is to optimize desk space for efficiency and cleanliness, embodying organization principles that promote stability and order.","Score 1 point for each non-essential item correctly moved into the trash can, and 2 points for every item efficiently placed for easy accessibility. A perfect score is 10, indicating a completely organized desk.","['Desk', 'Waste paper ball', 'Notebook', 'Pen', 'Trash can']",0,108,5,102
33,61,human_many,gpt-4o-2024-08-06,1,Kalimba Melody Creation,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Creating a new melody using the Kalimba for self-expression and innovation.,"Sit comfortably on the chair with the Kalimba on your lap. Use the notebook and pen to note down inspirations or patterns you like. Experiment by playing different notes and sequences, aiming to capture a unique melody.","The goal is to compose an original short melody, fostering creativity in a structured way.","Award yourself up to 10 points based on satisfaction with the creativity and coherence of the melody. Consider a rating of Playfulness, Originality, and Enjoyment.","['Kalimba', 'Chair', 'Notebook', 'Pen']",1,109,4,103
33,61,human_many,gpt-4o-2024-08-06,1,Potted Plant Reflection,"[{'name': 'Potted plants', 'quantity': 1}, {'name': 'Pillow', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]",Engaging in a reflective session to appreciate nature and personal thoughts beside the potted plant.,Place the pillow on the floor near the potted plant to sit comfortably. Use the notebook and pen to jot down thoughts and reflections that arise as you observe the plant.,The goal is to spend time reflecting on personal aspirations and appreciating the stability and growth represented by the plant.,Rate your reflection experience on a scale of 1-10 based on insightfulness and tranquility achieved. A score of 10 represents a deeply satisfying introspection.,"['Potted plants', 'Pillow', 'Notebook', 'Pen', 'Other people']",2,110,5,104
34,62,dummy_few,gpt-4o-2024-08-06,1,Creative Painting Interpretation,"[{'name': 'Paintings', 'quantity': 2}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",This activity involves observing the two paintings in the room and writing down personal interpretations and feelings about each piece.,"Place the notebook and pen on the desk. Sit comfortably in front of one of the paintings with the notebook and pen on hand. Spend a few minutes observing each painting attentively, then jot down thoughts, feelings, or interpretations about what the painting represents or evokes.","The goal is to deeply engage with the artwork and reflect on personal feelings and interpretations, promoting self-transcendence and reflection.","Use a scale from 1 to 5, where 1 is ""no connection felt"" and 5 is ""deeply felt connection."" Additionally, a bonus point for each unique insight or interpretation can be added up to a total score of 10.","['Paintings', 'Notebook', 'Pen']",0,111,3,105
34,62,dummy_few,gpt-4o-2024-08-06,1,Cushion Balance,"[{'name': 'Pillow', 'quantity': 2}, {'name': 'Chair', 'quantity': 4}, {'name': 'Tray', 'quantity': 1}]","This is a concentration and balance task where the participant must walk from one side of the room to the other, balancing pillows on a tray.",Place the chairs in a line to create a pathway. Put the pillow on the tray and stand at one end of the pathway. The goal is to walk across without dropping the pillow or veering off course.,Successfully complete the pathway crossing while maintaining balance without dropping the pillows.,Each successful crossing without dropping the pillows scores 5 points. Dropping the pillows deducts 1 point. Attempt up to 3 times to achieve the highest score possible.,"['Pillow', 'Chair', 'Tray']",1,112,3,106
34,62,dummy_few,gpt-4o-2024-08-06,1,Timed Reading Challenge,"[{'name': 'Book', 'quantity': 2}, {'name': 'Clock', 'quantity': 1}]",This task involves reading a preset number of pages within a specific time limit to encourage focus and self-discipline.,"Choose two books from the collection. Set the clock to a 20-minute countdown. Sit in a comfortable spot with one of the books and read as much as possible within the time limit, then switch to the second book.",The goal is to read as many pages as accurately and comprehensively as possible within the given time frame.,"Count the number of pages read; each page counts as 1 point. Additionally, award 5 extra points for completing an entire chapter. The final score reflects both reading speed and comprehension completion.","['Book', 'Clock']",2,113,2,107
35,63,human_many,gpt-4o-2024-08-06,1,Chess Strategy Session,"[{'name': 'Chess board&pieces', 'quantity': 1}, {'name': 'Other people', 'quantity': 1}]",Engage in a friendly chess match focusing on strategic thinking and problem-solving.,"Set up the chessboard on a desk with you and the other person seated opposite each other. Each player takes turns making a move, discussing possible strategies and tactics as they play.",The goal is to win the chess game through skillful strategy and foresight.,"Each captured piece scores points based on value (Pawn=1, Knight/Bishop=3, Rook=5, Queen=9). The game winner receives a bonus 10 points. The player with the highest total points wins the session.","['Chess board&pieces', 'Other people']",0,114,2,108
35,63,human_many,gpt-4o-2024-08-06,1,Creative Pillow Fort Construction,"[{'name': 'Pillow', 'quantity': 2}, {'name': 'Sofa', 'quantity': 1}, {'name': 'Chair', 'quantity': 2}]","Build a creative pillow fort, finding new ways to structure and design a comfortable, cozy space.","Arrange the pillows, sofa nook, and chairs to form a makeshift fort in a corner of the room. Use a blanket for the roof, supported by the chair backs and sofa.",The goal is to construct a stable and comfortable fort using the available items.,"Score based on creativity, stability, and comfort of the fort. Points are awarded: Creativity (1-5), Stability (1-5), and Comfort (1-5). Total possible score is 15 points.","['Pillow', 'Sofa', 'Chair']",1,115,3,109
